 dt=   5.0000000000000004E-006
 s_ind=         126
 steps=     2000000
 zipper=        2000

istep          p0              t0              rout            zout
  284000    0.26393827E+01  0.77404070E+01  0.98134167E+00  0.15411649E+00
  286000    0.26490828E+01  0.77374170E+01  0.98037447E+00  0.15482326E+00
  288000    0.26587958E+01  0.77344089E+01  0.97941976E+00  0.15553835E+00
  290000    0.26685216E+01  0.77313826E+01  0.97847767E+00  0.15626165E+00
  292000    0.26782600E+01  0.77283379E+01  0.97754833E+00  0.15699305E+00
  294000    0.26880110E+01  0.77252746E+01  0.97663189E+00  0.15773245E+00
  296000    0.26977745E+01  0.77221926E+01  0.97572846E+00  0.15847972E+00
  298000    0.27075503E+01  0.77190917E+01  0.97483818E+00  0.15923475E+00
  300000    0.27173384E+01  0.77159717E+01  0.97396118E+00  0.15999744E+00
  302000    0.27271386E+01  0.77128325E+01  0.97309757E+00  0.16076766E+00
  304000    0.27369509E+01  0.77096740E+01  0.97224748E+00  0.16154529E+00
  306000    0.27467751E+01  0.77064962E+01  0.97141101E+00  0.16233022E+00
  308000    0.27566111E+01  0.77032988E+01  0.97058829E+00  0.16312233E+00
  310000    0.27664588E+01  0.77000819E+01  0.96977943E+00  0.16392150E+00
  312000    0.27763181E+01  0.76968453E+01  0.96898453E+00  0.16472760E+00
  314000    0.27861888E+01  0.76935891E+01  0.96820370E+00  0.16554051E+00
  316000    0.27960708E+01  0.76903132E+01  0.96743704E+00  0.16636011E+00
  318000    0.28059641E+01  0.76870175E+01  0.96668464E+00  0.16718627E+00
  320000    0.28158684E+01  0.76837022E+01  0.96594660E+00  0.16801887E+00
  322000    0.28257837E+01  0.76803671E+01  0.96522301E+00  0.16885779E+00
  324000    0.28357097E+01  0.76770124E+01  0.96451396E+00  0.16970288E+00
  326000    0.28456465E+01  0.76736381E+01  0.96381953E+00  0.17055403E+00
  328000    0.28555937E+01  0.76702442E+01  0.96313979E+00  0.17141110E+00
  330000    0.28655513E+01  0.76668309E+01  0.96247482E+00  0.17227397E+00
  332000    0.28755192E+01  0.76633983E+01  0.96182470E+00  0.17314250E+00
  334000    0.28854971E+01  0.76599464E+01  0.96118949E+00  0.17401657E+00
  336000    0.28954850E+01  0.76564755E+01  0.96056925E+00  0.17489603E+00
  338000    0.29054827E+01  0.76529857E+01  0.95996405E+00  0.17578077E+00
  340000    0.29154900E+01  0.76494772E+01  0.95937393E+00  0.17667064E+00
  342000    0.29255068E+01  0.76459502E+01  0.95879895E+00  0.17756552E+00
  344000    0.29355330E+01  0.76424049E+01  0.95823916E+00  0.17846527E+00
  346000    0.29455682E+01  0.76388416E+01  0.95769459E+00  0.17936976E+00
  348000    0.29556125E+01  0.76352605E+01  0.95716529E+00  0.18027885E+00
  350000    0.29656657E+01  0.76316619E+01  0.95665128E+00  0.18119241E+00
  352000    0.29757275E+01  0.76280462E+01  0.95615260E+00  0.18211031E+00
  354000    0.29857978E+01  0.76244135E+01  0.95566928E+00  0.18303241E+00
  356000    0.29958765E+01  0.76207643E+01  0.95520134E+00  0.18395859E+00
  358000    0.30059633E+01  0.76170989E+01  0.95474879E+00  0.18488870E+00
  360000    0.30160581E+01  0.76134178E+01  0.95431165E+00  0.18582262E+00
  362000    0.30261608E+01  0.76097212E+01  0.95388992E+00  0.18676021E+00
  364000    0.30362711E+01  0.76060095E+01  0.95348363E+00  0.18770134E+00
  366000    0.30463889E+01  0.76022833E+01  0.95309276E+00  0.18864589E+00
  368000    0.30565140E+01  0.75985429E+01  0.95271731E+00  0.18959371E+00
  370000    0.30666462E+01  0.75947888E+01  0.95235729E+00  0.19054468E+00
  372000    0.30767854E+01  0.75910215E+01  0.95201268E+00  0.19149867E+00
  374000    0.30869313E+01  0.75872414E+01  0.95168347E+00  0.19245556E+00
  376000    0.30970838E+01  0.75834489E+01  0.95136965E+00  0.19341521E+00
  378000    0.31072427E+01  0.75796447E+01  0.95107120E+00  0.19437749E+00
  380000    0.31174078E+01  0.75758292E+01  0.95078810E+00  0.19534229E+00
  382000    0.31275789E+01  0.75720029E+01  0.95052033E+00  0.19630947E+00
